Source,Target,Weight,Type
I1L,I2L,10,chemical
I1L,I3,3,chemical
I1L,I5,2,chemical
I1L,I6,1,chemical
I1L,M2L,3,chemical
I1L,M3L,8,chemical
I1L,M3R,2,chemical
I1L,MCL,2,chemical
I1L,MCR,2,chemical
I1L,MI,2,chemical
I1L,NSML,3,chemical
I1L,pm1vl,2,chemical
I1L,pm3vl,7,chemical
I1L,pm4d,1,chemical
I1L,pm4vl,2,chemical
I1R,I2R,6,chemical
I1R,I3,1,chemical
I1R,I5,2,chemical
I1R,M1,1,chemical
I1R,M2L,1,chemical
I1R,M2R,3,chemical
I1R,M3L,1,chemical
I1R,M3R,6,chemical
I1R,MCL,3,chemical
I1R,MCR,4,chemical
I1R,MI,1,chemical
I1R,NSML,1,chemical
I1R,NSMR,2,chemical
I1R,pm1vr,1,chemical
I1R,pm3vr,5,chemical
I1R,pm4d,1,chemical
I1R,pm4vr,2,chemical
I1R,pm5vr,1,chemical
I2L,I1L,2,chemical
I2L,I2R,3,chemical
I2L,I4,13,chemical
I2L,I5,2,chemical
I2L,M1,1,chemical
I2L,NSML,14,chemical
I2L,NSMR,24,chemical
I2L,pm3vl,1,chemical
I2L,pm4vl,2,chemical
I2L,pm5d,1,chemical
I2L,pm5vl,2,chemical
I2L,pm5vr,1,chemical
I2R,I1R,1,chemical
I2R,I2L,3,chemical
I2R,I4,20,chemical
I2R,I5,2,chemical
I2R,M1,3,chemical
I2R,M2R,2,chemical
I2R,M3R,2,chemical
I2R,M4,3,chemical
I2R,MCL,1,chemical
I2R,NSML,34,chemical
I2R,NSMR,7,chemical
I2R,pm1vr,1,chemical
I2R,pm3vr,1,chemical
I2R,pm4d,2,chemical
I2R,pm4vl,1,chemical
I2R,pm5vl,1,chemical
I2R,pm5vr,4,chemical
I3,I1L,1,chemical
I3,I5,2,chemical
I3,I6,1,chemical
I3,M1,2,chemical
I3,M2L,2,chemical
I3,M3L,2,chemical
I3,M3R,2,chemical
I3,M4,2,chemical
I3,MCL,1,chemical
I3,MCR,2,chemical
I3,MI,1,chemical
I3,NSMR,2,chemical
I3,pm4d,2,chemical
I3,pm5d,4,chemical
I4,I2R,7,chemical
I4,I5,2,chemical
I4,M2L,5,chemical
I4,M3L,6,chemical
I4,M3R,22,chemical
I4,MI,1,chemical
I4,NSML,8,chemical
I4,NSMR,15,chemical
I4,pm4d,1,chemical
I4,pm5vl,11,chemical
I4,pm5vr,2,chemical
I5,I1L,2,chemical
I5,I2L,3,chemical
I5,I2R,1,chemical
I5,I3,1,chemical
I5,I4,7,chemical
I5,M1,3,chemical
I5,M2L,4,chemical
I5,M3L,4,chemical
I5,M3R,2,chemical
I5,M4,19,chemical
I5,MI,4,chemical
I5,NSML,1,chemical
I5,NSMR,5,chemical
I5,pm5vl,4,chemical
I5,pm5vr,14,chemical
I6,I1R,1,chemical
I6,I2L,1,chemical
I6,I2R,4,chemical
I6,I3,12,chemical
I6,M3L,10,chemical
I6,M4,15,chemical
I6,NSML,24,chemical
I6,NSMR,23,chemical
I6,pm5d,13,chemical
M1,I2L,3,chemical
M1,I2R,2,chemical
M1,I3,8,chemical
M1,I4,1,chemical
M1,I5,2,chemical
M1,MI,6,chemical
M1,NSML,2,chemical
M1,pm2d,1,chemical
M1,pm3vl,1,chemical
M1,pm4d,1,chemical
M1,pm5d,3,chemical
M2L,I3,2,chemical
M2L,I4,8,chemical
M2L,I5,2,chemical
M2L,M3L,3,chemical
M2L,M3R,1,chemical
M2L,pm4d,3,chemical
M2L,pm4vl,9,chemical
M2L,pm5d,2,chemical
M2L,pm5vl,21,chemical
M2R,I4,1,chemical
M2R,I5,3,chemical
M2R,M3L,2,chemical
M2R,M3R,1,chemical
M2R,NSMR,1,chemical
M2R,pm4d,3,chemical
M2R,pm4vr,3,chemical
M2R,pm5vr,12,chemical
M3L,NSML,1,chemical
M3L,pm4d,17,chemical
M3L,pm4vl,6,chemical
M3L,pm5d,4,chemical
M3L,pm5vl,2,chemical
M3R,M4,2,chemical
M3R,pm4d,6,chemical
M3R,pm4vr,1,chemical
M4,I4,5,chemical
M4,I5,1,chemical
M4,M2L,1,chemical
M4,M3L,1,chemical
M4,M4,15,chemical
M4,MCL,1,chemical
M4,pm4vr,1,chemical
M4,pm5d,69,chemical
M4,pm5vl,50,chemical
M4,pm5vr,72,chemical
M5,pm5vl,1,chemical
M5,pm5vr,3,chemical
M5,pm6d,2,chemical
M5,pm6vl,2,chemical
M5,pm6vr,2,chemical
M5,pm7d,3,chemical
M5,pm7vr,2,chemical
MCL,mc2dr,7,chemical
MCL,mc2v,13,chemical
MCR,mc2dl,6,chemical
MCR,mc2dr,4,chemical
MCR,mc2v,11,chemical
MI,I1L,1,chemical
MI,I3,2,chemical
MI,I4,1,chemical
MI,M1,7,chemical
MI,M2L,3,chemical
MI,M2R,2,chemical
MI,M3L,2,chemical
MI,MCL,3,chemical
MI,NSML,1,chemical
MI,NSMR,2,chemical
MI,pm4d,2,chemical
MI,pm4vl,1,chemical
MI,pm4vr,7,chemical
MI,pm5d,5,chemical
NSML,I4,1,chemical
NSML,M3L,21,chemical
NSML,M3R,1,chemical
NSML,M4,13,chemical
NSML,NSMR,7,chemical
NSML,pm4vl,2,chemical
NSML,pm5d,38,chemical
NSML,pm5vl,63,chemical
NSML,pm5vr,8,chemical
NSMR,I2L,1,chemical
NSMR,I2R,1,chemical
NSMR,I4,3,chemical
NSMR,I6,4,chemical
NSMR,M3R,24,chemical
NSMR,pm4d,3,chemical
NSMR,pm5d,9,chemical
NSMR,pm5vl,1,chemical
NSMR,pm5vr,53,chemical
ADFL,AWAL,1,chemical
ADFL,OLQVL,2,chemical
ADFL,AUAL,3,chemical
ADFL,AIZL,37,chemical
ADFL,ADAL,2,chemical
ADFL,RIAL,47,chemical
ADFL,RIBL,1,chemical
ADFL,RIGL,9,chemical
ADFL,SMBVL,8,chemical
ADFR,ASGR,2,chemical
ADFR,AWAR,1,chemical
ADFR,AWBR,8,chemical
ADFR,AFDR,2,chemical
ADFR,AUAR,10,chemical
ADFR,AIZR,24,chemical
ADFR,RIAR,33,chemical
ADFR,RIPR,1,chemical
ADFR,SMBDR,3,chemical
ADFR,SMBVR,1,chemical
ADLL,ASGL,9,chemical
ADLL,ASHL,4,chemical
ADLL,ASKL,1,chemical
ADLL,CEPDL,1,chemical
ADLL,AIBL,16,chemical
ADLL,AVFL,1,chemical
ADLL,AVHL,1,chemical
ADLL,AVJL,10,chemical
ADLL,PVQL,1,chemical
ADLL,SMBVL,1,chemical
ADLR,ASER,4,chemical
ADLR,ASGR,1,chemical
ADLR,ASHR,11,chemical
ADLR,AIAR,24,chemical
ADLR,AIBR,53,chemical
ADLR,AVFR,2,chemical
ADLR,AVDL,40,chemical
ADLR,SMBVR,9,chemical
ASEL,ASKL,4,chemical
ASEL,AWCL,18,chemical
ASEL,AIBL,5,chemical
ASEL,AIYL,11,chemical
ASEL,RIBL,1,chemical
ASER,AFDR,2,chemical
ASER,AIBR,13,chemical
ASER,AIYR,23,chemical
ASGL,ASEL,1,chemical
ASGL,AIAL,70,chemical
ASGL,AIZL,3,chemical
ASGL,AIML,5,chemical
ASGL,RICL,4,chemical
ASGR,AIAR,57,chemical
ASGR,AIBR,9,chemical
ASGR,AIMR,1,chemical
ASHL,ADFL,12,chemical
ASHL,ADLL,3,chemical
ASHL,ASKL,1,chemical
ASHL,AIAL,23,chemical
ASHL,AIBL,20,chemical
ASHL,RIAL,8,chemical
ASHL,RIFL,1,chemical
ASHL,AVFL,5,chemical
ASHL,PVQL,5,chemical
ASHL,AVBL,4,chemical
ASHL,SMBVL,4,chemical
ASHR,ASKR,2,chemical
ASHR,AIAR,48,chemical
ASHR,AIBR,2,chemical
ASHR,AVBR,1,chemical
ASHR,AVDL,24,chemical
ASIL,ASGL,6,chemical
ASIL,AWCL,8,chemical
ASIL,AFDL,5,chemical
ASIL,AIAL,1,chemical
ASIL,AIBL,11,chemical
ASIL,AIML,3,chemical
ASIL,SAAVL,2,chemical
ASIR,ASGR,2,chemical
ASIR,ASKR,4,chemical
ASIR,AWCR,1,chemical
ASIR,AFDR,8,chemical
ASIR,AIAR,3,chemical
ASJL,ASKL,13,chemical
ASJL,OLQDL,2,chemical
ASJL,PVQL,26,chemical
ASJL,URADL,2,chemical
ASJR,ASKR,1,chemical
ASJR,RIFR,2,chemical
ASJR,RMGR,3,chemical
ASJR,PVQR,20,chemical
ASJR,AVBL,2,chemical
ASKL,ASHL,5,chemical
ASKL,AIAL,8,chemical
ASKL,AIBL,3,chemical
ASKR,ASHR,2,chemical
ASKR,AIAR,38,chemical
ASKR,AIMR,1,chemical
ASKR,RIFR,1,chemical
AWAL,ADFL,10,chemical
AWAL,ASEL,5,chemical
AWAL,ASIL,2,chemical
AWAL,AWBL,6,chemical
AWAL,AFDL,16,chemical
AWAL,AUAL,2,chemical
AWAL,AIYL,13,chemical
AWAL,AIZL,50,chemical
AWAL,RIBL,3,chemical
AWAR,ADFR,14,chemical
AWAR,ADLR,3,chemical
AWAR,AWBR,4,chemical
AWAR,AFDR,8,chemical
AWAR,AIYR,3,chemical
AWAR,AIZR,88,chemical
AWBL,ADFL,16,chemical
AWBL,AIYL,13,chemical
AWBL,AIZL,1,chemical
AWBL,RIAL,13,chemical
AWBL,RIBL,9,chemical
AWBL,SMBVL,3,chemical
AWBR,ADFR,19,chemical
AWBR,AIZR,13,chemical
AWBR,RIAR,26,chemical
AWBR,RIBR,6,chemical
AWCL,ASEL,4,chemical
AWCL,ASKL,2,chemical
AWCL,AIAL,13,chemical
AWCL,AIBL,3,chemical
AWCL,AIYL,5,chemical
AWCR,AIBR,13,chemical
AWCR,AIYR,45,chemical
AFDL,AIYL,59,chemical
AFDR,AWAR,2,chemical
AFDR,AUAR,2,chemical
AFDR,AIYR,30,chemical
IL1DL,RIPL,12,chemical
IL1DL,RMDVL,25,chemical
IL1DR,IL1R,1,chemical
IL1DR,RIPR,17,chemical
IL1DR,RMDVR,19,chemical
IL1L,RMDDL,12,chemical
IL1L,RMDL,15,chemical
IL1L,RMDR,3,chemical
IL1L,RMDVL,13,chemical
IL1L,RMHR,6,chemical
IL1R,RIBR,11,chemical
IL1R,RMDDL,1,chemical
IL1R,RMDDR,28,chemical
IL1R,RMDVL,2,chemical
IL1R,RMDVR,33,chemical
IL1R,RMHL,5,chemical
IL1VL,OLQVL,3,chemical
IL1VL,AIBR,3,chemical
IL1VL,RIAL,3,chemical
IL1VL,RIGL,3,chemical
IL1VL,RIPL,47,chemical
IL1VL,RMDDL,81,chemical
IL1VR,IL2VR,1,chemical
IL1VR,RIPR,30,chemical
IL1VR,RMDDR,47,chemical
IL1VR,RMER,1,chemical
IL1VR,SMDVL,2,chemical
IL2DL,IL1DL,1,chemical
IL2DL,RICR,4,chemical
IL2DL,RIPL,9,chemical
IL2DL,URADL,12,chemical
IL2DR,IL1DR,3,chemical
IL2DR,OLQDR,3,chemical
IL2DR,URYDR,1,chemical
IL2DR,RICL,3,chemical
IL2DR,RIH,4,chemical
IL2DR,RIPR,11,chemical
IL2DR,RMED,3,chemical
IL2DR,RMEL,3,chemical
IL2DR,RMER,4,chemical
IL2DR,RMEV,1,chemical
IL2DR,URADR,8,chemical
IL2L,OLQDL,18,chemical
IL2L,OLQVL,16,chemical
IL2L,RICR,3,chemical
IL2L,RIH,31,chemical
IL2L,URBL,19,chemical
IL2L,RMDR,10,chemical
IL2L,RMER,8,chemical
IL2L,SMBVL,3,chemical
IL2R,IL1R,2,chemical
IL2R,IL1VR,1,chemical
IL2R,OLQDR,26,chemical
IL2R,OLQVR,10,chemical
IL2R,OLLR,2,chemical
IL2R,RIBR,15,chemical
IL2R,RICL,3,chemical
IL2R,RICR,3,chemical
IL2R,RIH,31,chemical
IL2R,URBR,10,chemical
IL2R,RMDR,1,chemical
IL2R,RMEL,1,chemical
IL2R,SMBVR,3,chemical
IL2VL,IL1VL,13,chemical
IL2VL,OLQVL,9,chemical
IL2VL,RIAL,5,chemical
IL2VL,RIPL,36,chemical
IL2VL,RMED,6,chemical
IL2VL,RMEL,15,chemical
IL2VL,RMER,6,chemical
IL2VL,RMEV,5,chemical
IL2VL,URAVL,14,chemical
IL2VL,CEMVL,1,chemical
IL2VR,IL1VR,15,chemical
IL2VR,CEPVR,3,chemical
IL2VR,RIH,6,chemical
IL2VR,RIPR,40,chemical
IL2VR,RMED,12,chemical
IL2VR,RMEL,11,chemical
IL2VR,RMER,15,chemical
IL2VR,URAVR,13,chemical
OLQDL,IL1DL,1,chemical
OLQDL,IL2DL,1,chemical
OLQDL,IL2L,11,chemical
OLQDL,OLQDL,8,chemical
OLQDL,RICR,13,chemical
OLQDL,RMDDR,6,chemical
OLQDL,SIBVL,6,chemical
OLQDL,SMBDR,4,chemical
OLQDR,IL2R,10,chemical
OLQDR,CEPDR,1,chemical
OLQDR,RIAR,1,chemical
OLQDR,RICL,22,chemical
OLQDR,RICR,3,chemical
OLQDR,RIH,1,chemical
OLQDR,RIPR,5,chemical
OLQDR,RMDDL,20,chemical
OLQDR,RMDVR,6,chemical
OLQDR,SIBVR,14,chemical
OLQVL,IL1VL,2,chemical
OLQVL,IL2L,9,chemical
OLQVL,IL2VL,2,chemical
OLQVL,RICL,19,chemical
OLQVL,RMDVR,27,chemical
OLQVL,RMHL,1,chemical
OLQVL,SIBDL,26,chemical
OLQVR,IL1VR,10,chemical
OLQVR,IL2R,11,chemical
OLQVR,IL2VR,5,chemical
OLQVR,RICR,16,chemical
OLQVR,RMDVL,23,chemical
OLQVR,RMER,5,chemical
OLQVR,SIBDR,23,chemical
OLQVR,SMBVR,1,chemical
OLLL,IL1DL,1,chemical
OLLL,IL1L,1,chemical
OLLL,IL1VL,2,chemical
OLLL,RIBL,9,chemical
OLLL,AVER,26,chemical
OLLL,RMDDL,22,chemical
OLLL,RMDL,1,chemical
OLLL,RMDR,23,chemical
OLLL,RMDVL,4,chemical
OLLL,SMDDL,5,chemical
OLLL,SMDDR,11,chemical
OLLL,SMDVR,24,chemical
OLLR,IL1R,5,chemical
OLLR,IL1VR,1,chemical
OLLR,CEPVR,9,chemical
OLLR,RIBR,23,chemical
OLLR,RIGR,2,chemical
OLLR,AVEL,44,chemical
OLLR,RMDDR,17,chemical
OLLR,RMDR,5,chemical
OLLR,RMDVR,6,chemical
OLLR,RMER,1,chemical
OLLR,SMDVL,24,chemical
CEPDL,IL1DL,11,chemical
CEPDL,IL1L,4,chemical
CEPDL,OLQDL,23,chemical
CEPDL,URXL,3,chemical
CEPDL,RICR,11,chemical
CEPDL,RMGL,1,chemical
CEPDL,AVAR,1,chemical
CEPDL,AVEL,9,chemical
CEPDL,RMHL,13,chemical
CEPDL,RMHR,8,chemical
CEPDL,SIADR,9,chemical
CEPDL,SMBDR,5,chemical
CEPDL,SMDDL,1,chemical
CEPDR,IL1DR,17,chemical
CEPDR,OLQDR,17,chemical
CEPDR,RICL,20,chemical
CEPDR,RICR,14,chemical
CEPDR,RIPR,5,chemical
CEPDR,RMHL,6,chemical
CEPDR,URADR,5,chemical
CEPDR,SIAVR,8,chemical
CEPVL,IL1VL,5,chemical
CEPVL,IL2VL,2,chemical
CEPVL,OLQVL,27,chemical
CEPVL,RICL,20,chemical
CEPVL,RICR,27,chemical
CEPVL,RIH,1,chemical
CEPVL,RIPL,11,chemical
CEPVL,AVAR,1,chemical
CEPVL,RMHL,1,chemical
CEPVL,RMHR,4,chemical
CEPVL,RIVR,4,chemical
CEPVL,URAVL,24,chemical
CEPVL,SIAVL,9,chemical
CEPVR,AWCR,1,chemical
CEPVR,IL1VR,12,chemical
CEPVR,IL2VR,4,chemical
CEPVR,OLQVR,31,chemical
CEPVR,OLLR,26,chemical
CEPVR,URXR,8,chemical
CEPVR,RIBR,2,chemical
CEPVR,RICL,22,chemical
CEPVR,RICR,24,chemical
CEPVR,RIPR,3,chemical
CEPVR,PVR,5,chemical
CEPVR,AVEL,19,chemical
CEPVR,AVER,8,chemical
CEPVR,RMDDR,16,chemical
CEPVR,RMHL,9,chemical
CEPVR,RMHR,5,chemical
CEPVR,URAVR,16,chemical
CEPVR,SIAVR,11,chemical
CEPVR,SMDDR,8,chemical
CEPVR,SMDVL,2,chemical
CEPVR,CEMVR,1,chemical
CEPVR,MCMR,1,chemical
ALML,CEPDL,17,chemical
ALML,CEPVL,13,chemical
ALML,BDUL,14,chemical
ALML,PVCL,23,chemical
ALML,AVBR,1,chemical
ALMR,CEPDR,19,chemical
ALMR,CEPVR,4,chemical
ALMR,BDUR,14,chemical
ALMR,PVCR,8,chemical
ALMR,AVBL,8,chemical
ALMR,AVDL,9,chemical
AVM,BDUR,2,chemical
AVM,RIBR,5,chemical
AVM,RIFR,1,chemical
AVM,AVJL,6,chemical
AVM,PVCL,2,chemical
AVM,PVCR,8,chemical
AVM,AVBL,3,chemical
AVM,AVBR,25,chemical
AVM,RIMR,3,chemical
AVM,SMBVL,3,chemical
AVM,MCMR,1,chemical
AVM,EF3,5,chemical
PVM,PVM,3,chemical
PVM,PDEL,2,chemical
PVM,PDER,3,chemical
PVM,AVKL,15,chemical
PVM,DVA,8,chemical
PVM,hyp,5,chemical
PLML,PDEL,16,chemical
PLML,PDER,19,chemical
PLML,DVA,9,chemical
PLML,AVAL,4,chemical
PLML,AVDR,5,chemical
PLML,VA09,6,chemical
PLML,hyp,10,chemical
PLML,R1AL,4,chemical
PLMR,PDEL,18,chemical
PLMR,PDER,10,chemical
PLMR,DVA,19,chemical
PLMR,AVAL,3,chemical
PLMR,AVAR,5,chemical
PLMR,AVDL,8,chemical
PLMR,AVDR,5,chemical
PLMR,AS11,1,chemical
PLMR,hyp,1,chemical
ALNL,RMGL,6,chemical
ALNL,AVAR,2,chemical
ALNL,RIMR,4,chemical
ALNL,SAAVL,12,chemical
ALNL,SAAVR,24,chemical
ALNL,SIADR,3,chemical
ALNL,SMBDR,4,chemical
ALNL,SMDDR,6,chemical
ALNR,RMGR,2,chemical
ALNR,SAAVR,8,chemical
ALNR,SIAVR,1,chemical
ALNR,SMBDL,1,chemical
ALNR,SMDDL,3,chemical
ALNR,SMDVR,6,chemical
PLNL,RMGL,5,chemical
PLNL,RMDVR,1,chemical
PLNL,SAADL,40,chemical
PLNL,SAADR,8,chemical
PLNL,SAAVL,1,chemical
PLNL,SIAVL,1,chemical
PLNL,SIAVR,10,chemical
PLNL,SMBVL,25,chemical
PLNL,SMDVR,3,chemical
PLNR,RMGR,5,chemical
PLNR,SAADL,5,chemical
PLNR,SAADR,22,chemical
PLNR,SIBDL,10,chemical
PLNR,SMBVR,10,chemical
PLNR,SMDDR,1,chemical
FLPL,FLPR,5,chemical
FLPL,AQR,1,chemical
FLPL,AIBL,24,chemical
FLPL,RIGR,3,chemical
FLPL,RIS,6,chemical
FLPL,DVC,6,chemical
FLPL,PVR,2,chemical
FLPL,PVCL,6,chemical
FLPL,AVAL,32,chemical
FLPL,AVAR,6,chemical
FLPL,AVBL,16,chemical
FLPL,AVEL,17,chemical
FLPL,SMDDR,3,chemical
FLPR,AIBR,4,chemical
FLPR,AVAL,14,chemical
FLPR,AVAR,14,chemical
FLPR,RIML,4,chemical
BDUL,ALML,2,chemical
BDUL,SAADL,3,chemical
BDUR,ALMR,2,chemical
BDUR,RMGR,2,chemical
BDUR,MCMR,8,chemical
SDQL,SAADR,2,chemical
SDQL,SIADR,2,chemical
SDQL,SIBVL,1,chemical
SDQL,SMBDR,11,chemical
SDQR,ALMR,13,chemical
SDQR,FLPL,14,chemical
SDQR,FLPR,2,chemical
SDQR,SDQL,4,chemical
SDQR,DVA,25,chemical
SDQR,PVR,17,chemical
SDQR,PVCL,2,chemical
SDQR,AVBL,36,chemical
SDQR,AVBR,20,chemical
SDQR,RIVR,10,chemical
SDQR,SIADL,2,chemical
SDQR,SIBDR,1,chemical
SDQR,SMBVL,11,chemical
PVDL,PVDR,10,chemical
PVDL,AVFL,1,chemical
PVDL,AVG,8,chemical
PVDL,PVPL,1,chemical
PVDL,PVCL,13,chemical
PVDL,PVCR,36,chemical
PVDL,AVAL,13,chemical
PVDL,AVAR,29,chemical
PVDL,AVDL,1,chemical
PVDL,AVDR,1,chemical
PVDL,DD05,3,chemical
PVDL,VD10,3,chemical
PVDL,hyp,7,chemical
PVDL,PVZ,9,chemical
PVDR,PVDL,2,chemical
PVDR,DVA,5,chemical
PVDR,PVR,4,chemical
PVDR,PVCL,29,chemical
PVDR,PVCR,29,chemical
PVDR,AVAL,9,chemical
PVDR,AVAR,30,chemical
PVDR,AVDL,1,chemical
PVDR,VA09,2,chemical
PVDR,VA12,3,chemical
PVDR,VB05,1,chemical
PVDR,VB06,4,chemical
PVDR,hyp,6,chemical
BAGL,ASER,1,chemical
BAGL,AFDR,1,chemical
BAGL,AIBR,1,chemical
BAGL,AIYR,1,chemical
BAGL,RIAR,39,chemical
BAGL,RIBR,20,chemical
BAGL,RIGR,15,chemical
BAGL,RMFR,5,chemical
URXL,RMGL,1,chemical
URXR,IL1R,2,chemical
URXR,IL2R,1,chemical
URXR,AUAR,6,chemical
URXR,RIAR,8,chemical
URXR,RICL,1,chemical
URXR,RIGR,17,chemical
URXR,RMGR,1,chemical
URXR,AVER,19,chemical
URYVL,RID,1,chemical
AQR,ALMR,2,chemical
AQR,BAGL,3,chemical
AQR,ADEL,4,chemical
AQR,RIAL,5,chemical
AQR,RIAR,6,chemical
AQR,DVA,1,chemical
AQR,PVCL,5,chemical
AQR,PVCR,5,chemical
AQR,AVAR,3,chemical
AQR,AVBL,5,chemical
AQR,AVBR,9,chemical
AQR,AVDL,2,chemical
PQR,AVFR,2,chemical
PQR,PVNL,4,chemical
PQR,PVNR,2,chemical
PQR,PVPL,2,chemical
PQR,PVWL,3,chemical
PQR,AVAL,51,chemical
PQR,AVAR,55,chemical
PQR,AVDL,13,chemical
PQR,AVDR,9,chemical
PQR,DA06,6,chemical
PQR,DA08,4,chemical
PQR,DB06,18,chemical
PQR,DD05,4,chemical
PQR,VA11,1,chemical
PQR,VA12,1,chemical
PQR,VB09,3,chemical
PQR,VB10,2,chemical
PQR,R3BL,3,chemical
PQR,R7BL,3,chemical
PQR,R7BR,2,chemical
PQR,SPVR,2,chemical
PQR,PVY,2,chemical
PQR,EF2,2,chemical
PQR,EF3,18,chemical
AUAL,ADFL,8,chemical
AUAL,RIAL,45,chemical
AUAL,RIBL,18,chemical
AUAL,AVAL,6,chemical
AUAL,AVEL,5,chemical
AUAR,ADFR,12,chemical
AUAR,BAGL,3,chemical
AUAR,URXR,1,chemical
AUAR,RIAR,42,chemical
AUAR,RIBR,25,chemical
ADEL,ADER,2,chemical
ADEL,RIGL,14,chemical
ADEL,RIGR,5,chemical
ADEL,RIH,2,chemical
ADEL,RMGL,1,chemical
ADEL,AVKL,10,chemical
ADEL,DVA,2,chemical
ADEL,PVQL,1,chemical
ADEL,AVAR,5,chemical
ADEL,RIVR,1,chemical
ADEL,SAADR,1,chemical
ADER,ADEL,4,chemical
ADER,RIGL,5,chemical
ADER,RIGR,5,chemical
ADER,AVAL,10,chemical
ADER,RIVL,2,chemical
ADER,RIVR,1,chemical
PDEL,PVM,2,chemical
PDEL,AVKL,13,chemical
PDEL,DVA,22,chemical
PDEL,PVR,3,chemical
PDEL,PVCL,2,chemical
PDEL,VA10,1,chemical
PDEL,VB09,1,chemical
PDEL,hyp,2,chemical
PDEL,ailR,2,chemical
PDER,PVM,1,chemical
PDER,PDEL,2,chemical
PDER,PDER,2,chemical
PDER,AVKL,23,chemical
PDER,DVA,23,chemical
PDER,PVR,3,chemical
PDER,PVCL,2,chemical
PDER,DB06,1,chemical
PDER,VB10,1,chemical
PDER,VB11,1,chemical
PDER,VD12,2,chemical
PDER,hyp,9,chemical
PDER,R1BR,2,chemical
PHAL,PHAR,18,chemical
PHAL,PHBL,1,chemical
PHAL,PHCL,17,chemical
PHAL,PVCL,21,chemical
PHAL,AVAL,8,chemical
PHAL,LUAL,26,chemical
PHAL,DA08,8,chemical
PHAL,R3BL,21,chemical
PHAL,R3BR,41,chemical
PHAL,R8AL,3,chemical
PHAL,R8AR,13,chemical
PHAL,R9AL,9,chemical
PHAL,PVX,43,chemical
PHAL,DX1,3,chemical
PHAL,EF3,44,chemical
PHAL,CP07,5,chemical
PHAR,PHAL,4,chemical
PHAR,PHBR,20,chemical
PHAR,AVFL,5,chemical
PHAR,AVG,4,chemical
PHAR,DVA,11,chemical
PHAR,PVQR,1,chemical
PHAR,PVCR,15,chemical
PHAR,AVAL,4,chemical
PHAR,LUAL,2,chemical
PHAR,LUAR,6,chemical
PHAR,DA09,1,chemical
PHAR,PDA,1,chemical
PHAR,R1BR,2,chemical
PHAR,R3BL,1,chemical
PHAR,R3BR,3,chemical
PHAR,R6BR,6,chemical
PHAR,R8AL,7,chemical
PHAR,R8AR,6,chemical
PHAR,R9BL,60,chemical
PHAR,PCAL,2,chemical
PHAR,PCAR,2,chemical
PHAR,PVX,23,chemical
PHAR,PVY,3,chemical
PHAR,PVZ,27,chemical
PHAR,EF1,44,chemical
PHAR,EF2,37,chemical
PHAR,CP07,21,chemical
PHAR,ailR,3,chemical
PHBL,PQR,1,chemical
PHBL,PHAL,10,chemical
PHBL,PHBR,7,chemical
PHBL,AVG,8,chemical
PHBL,AVHR,8,chemical
PHBL,PVQR,1,chemical
PHBL,LUAL,13,chemical
PHBL,R3BR,24,chemical
PHBL,R8AL,2,chemical
PHBL,R9AL,3,chemical
PHBL,HOA,4,chemical
PHBL,HOB,8,chemical
PHBL,PVX,23,chemical
PHBL,PVY,9,chemical
PHBL,DVE,3,chemical
PHBL,DVF,1,chemical
PHBL,DX1,13,chemical
PHBL,DX3,4,chemical
PHBL,EF3,24,chemical
PHBL,cdlL,1,chemical
PHBR,PHAR,7,chemical
PHBR,PHBL,5,chemical
PHBR,AVG,7,chemical
PHBR,AVHR,1,chemical
PHBR,PVQL,1,chemical
PHBR,PVQR,4,chemical
PHBR,LUAL,6,chemical
PHBR,LUAR,2,chemical
PHBR,PDB,10,chemical
PHBR,R3BR,4,chemical
PHBR,R9AR,6,chemical
PHBR,R9BL,13,chemical
PHBR,HOA,7,chemical
PHBR,PCAR,11,chemical
PHBR,PVX,7,chemical
PHBR,PVY,4,chemical
PHBR,DVE,11,chemical
PHBR,EF1,9,chemical
PHBR,EF2,24,chemical
PHBR,CA07,4,chemical
PHBR,CP07,6,chemical
PHBR,vspR,2,chemical
PHCL,PQR,4,chemical
PHCL,PHCR,3,chemical
PHCL,AVFR,2,chemical
PHCL,PVNL,7,chemical
PHCL,PVWL,4,chemical
PHCL,PVCL,2,chemical
PHCL,AVAR,27,chemical
PHCL,AVDR,16,chemical
PHCL,AS11,2,chemical
PHCL,R3BL,2,chemical
PHCL,R5BR,1,chemical
PHCL,R6BR,8,chemical
PHCL,R9AL,2,chemical
PHCL,R9BL,6,chemical
PHCR,PHCL,6,chemical
PHCR,AVFL,10,chemical
PHCR,AVFR,3,chemical
PHCR,PVR,1,chemical
PHCR,PVCR,3,chemical
PHCR,AVAR,12,chemical
PHCR,AVDR,9,chemical
PHCR,DB07,1,chemical
PHCR,R1BR,3,chemical
PHCR,R6BR,3,chemical
PHCR,R9BR,7,chemical
AIAL,AWCL,25,chemical
AIAL,AIAL,26,chemical
AIAL,AIBL,45,chemical
AIAL,AIYL,6,chemical
AIAL,RIFL,27,chemical
AIAR,ADLR,12,chemical
AIAR,ASGR,5,chemical
AIAR,ASHR,1,chemical
AIAR,ASKR,2,chemical
AIAR,AIBR,6,chemical
AIAR,AIMR,1,chemical
AIBL,AIBL,2,chemical
AIBL,AIZR,8,chemical
AIBL,RIBR,4,chemical
AIBL,RMFR,5,chemical
AIBL,AVKR,5,chemical
AIBL,AVBL,24,chemical
